,location,total_sqft,bath,balcony,price,ready_to_move,bedrooms
0,Electronic City Phase II,1056.0,2.0,1.0,39.07,0,2
1,Chikka Tirupathi,2600.0,5.0,3.0,120.0,1,4
2,Uttarahalli,1440.0,2.0,3.0,62.0,1,3
3,Lingadheeranahalli,1521.0,3.0,1.0,95.0,1,3
4,Kothanur,1200.0,2.0,1.0,51.0,1,2
5,Whitefield,1170.0,2.0,1.0,38.0,1,2
8,Marathahalli,1310.0,3.0,1.0,63.25,1,3
10,Whitefield,1800.0,2.0,2.0,70.0,0,3
11,Whitefield,2785.0,5.0,3.0,295.0,1,4
12,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,1,2
13,Gottigere,1100.0,2.0,2.0,40.0,1,2
14,Sarjapur,2250.0,3.0,2.0,148.0,1,3
15,Mysore Road,1175.0,2.0,2.0,73.5,1,2
16,Bisuvanahalli,1180.0,3.0,2.0,48.0,1,3
17,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,1,3
18,Ramakrishnappa Layout,2770.0,4.0,2.0,290.0,1,3
19,Manayata Tech Park,1100.0,2.0,2.0,48.0,1,2
20,Kengeri,600.0,1.0,1.0,15.0,1,1
21,Binny Pete,1755.0,3.0,1.0,122.0,0,3
22,Thanisandra,2800.0,5.0,2.0,380.0,1,4
23,Bellandur,1767.0,3.0,1.0,103.0,1,3
24, Thanisandra,510.0,1.0,0.0,25.25,0,1
25,Mangammanapalya,1250.0,3.0,2.0,56.0,0,3
26,Electronic City,660.0,1.0,1.0,23.1,1,2
27,Whitefield,1610.0,3.0,2.0,81.0,0,3
28,Ramagondanahalli,1151.0,2.0,2.0,48.77,0,2
29,Electronic City,1025.0,2.0,1.0,47.0,1,3
30,Yelahanka,2475.0,4.0,0.0,186.0,0,4
31,Bisuvanahalli,1075.0,2.0,1.0,35.0,1,3
32,Hebbal,1760.0,2.0,2.0,123.0,1,3
33,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,1,3
35,Kanakpura Road,700.0,2.0,1.0,36.0,0,2
36,Electronics City Phase 1,1070.0,2.0,1.0,45.5,1,2
37,Kundalahalli,1724.0,3.0,2.0,125.0,1,3
38,Chikkalasandra,1290.0,2.0,2.0,56.12,1,3
39,Uttarahalli,1143.0,2.0,2.0,45.0,1,2
41,Sarjapur  Road,1254.0,3.0,2.0,38.0,0,3
42,Ganga Nagar,600.0,1.0,0.0,38.0,1,1
43,Yelahanka,660.0,1.0,0.0,48.0,1,1
44,Kanakpura Road,1330.74,2.0,2.0,91.79,0,2
46,Doddathoguru,970.0,2.0,0.0,33.0,1,2
47,Whitefield,1459.0,2.0,1.0,94.82,0,2
48,KR Puram,800.0,1.0,1.0,130.0,1,2
49,Himagiri Meadows,869.0,2.0,1.0,36.0,1,2
50,Adarsh Nagar,1270.0,2.0,1.0,50.0,1,2
51,Bhoganhalli,1670.0,3.0,1.0,99.0,0,3
52,Whitefield,2010.0,3.0,2.0,91.0,1,3
53,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,1,2
54,Yelahanka,1600.0,2.0,3.0,75.0,1,3
55,Begur Road,1200.0,2.0,2.0,44.0,1,2
57,Ramakrishnappa Layout,1500.0,2.0,2.0,185.0,1,2
58,Murugeshpalya,1407.0,4.0,1.0,150.0,1,6
59,Govindaraja Nagar Ward,840.0,2.0,2.0,45.0,1,2
60,Tharabanahalli,4395.0,3.0,2.0,240.0,1,3
61,Ganga Nagar,845.0,2.0,1.0,55.0,1,2
62,Whitefield,5700.0,5.0,3.0,650.0,1,4
63,Varthur,1160.0,2.0,2.0,44.0,1,2
64,Bommanahalli,3000.0,8.0,0.0,140.0,1,8
65,Doddathoguru,1100.0,2.0,1.0,62.0,1,2
66,Gunjur,1140.0,2.0,3.0,43.0,0,2
67,Marathahalli,1220.0,2.0,1.0,57.0,1,2
68,Devarachikkanahalli,1350.0,7.0,0.0,85.0,1,8
69,Kanakpura Road,1005.0,2.0,1.0,36.68,1,2
70,Double Road,500.0,3.0,2.0,100.0,1,3
71,Begur Road,1358.0,2.0,1.0,80.58,0,2
72,Hegde Nagar,1569.0,3.0,1.0,101.0,1,3
73,Haralur Road,1240.0,2.0,1.0,70.0,0,2
74,Hennur Road,2089.0,3.0,2.0,140.0,1,3
75,Kothannur,1206.0,2.0,1.0,48.23,1,2
76,Kalena Agrahara,1150.0,2.0,3.0,40.0,1,2
77,Cholanayakanahalli,2511.0,3.0,3.0,205.0,1,3
78,Kaval Byrasandra,460.0,1.0,0.0,22.0,1,2
79,ISRO Layout,4400.0,6.0,3.0,250.0,1,6
80,Kodanda Reddy Layout,1660.0,2.0,2.0,105.0,1,3
